# hp_idx count g_sky r_sky z_sky ra dec
214 nan nan nan nan 310.5 82.6853762107639
215 nan nan nan nan 319.5 82.6853762107639
216 nan nan nan nan 328.5 82.6853762107639
217 nan nan nan nan 337.5 82.6853762107639
218 nan nan nan nan 346.5 82.6853762107639
219 nan nan nan nan 355.5 82.6853762107639
220 nan nan nan nan 4.090909090909091 81.95276407098083
221 nan nan nan nan 12.272727272727272 81.95276407098083
222 nan nan nan nan 20.454545454545457 81.95276407098083
223 nan nan nan nan 28.636363636363637 81.95276407098083
224 nan nan nan nan 36.81818181818181 81.95276407098083
225 nan nan nan nan 44.99999999999999 81.95276407098083
226 nan nan nan nan 53.18181818181818 81.95276407098083
227 nan nan nan nan 61.36363636363635 81.95276407098083
228 nan nan nan nan 69.54545454545455 81.95276407098083
229 nan nan nan nan 77.72727272727272 81.95276407098083
230 nan nan nan nan 85.9090909090909 81.95276407098083
231 nan nan nan nan 94.0909090909091 81.95276407098083
232 nan nan nan nan 102.27272727272728 81.95276407098083
233 nan nan nan nan 110.45454545454545 81.95276407098083
234 nan nan nan nan 118.63636363636364 81.95276407098083
235 nan nan nan nan 126.81818181818183 81.95276407098083
236 nan nan nan nan 135.0 81.95276407098083
237 nan nan nan nan 143.1818181818182 81.95276407098083
238 nan nan nan nan 151.36363636363637 81.95276407098083
239 nan nan nan nan 159.54545454545453 81.95276407098083
240 nan nan nan nan 167.72727272727272 81.95276407098083
241 nan nan nan nan 175.9090909090909 81.95276407098083
242 nan nan nan nan 184.0909090909091 81.95276407098083
243 nan nan nan nan 192.27272727272728 81.95276407098083
244 nan nan nan nan 200.45454545454544 81.95276407098083
245 nan nan nan nan 208.63636363636363 81.95276407098083
246 nan nan nan nan 216.8181818181818 81.95276407098083
247 nan nan nan nan 225.00000000000003 81.95276407098083
248 nan nan nan nan 233.1818181818182 81.95276407098083
249 nan nan nan nan 241.36363636363635 81.95276407098083
250 nan nan nan nan 249.54545454545453 81.95276407098083
251 nan nan nan nan 257.72727272727275 81.95276407098083
252 nan nan nan nan 265.9090909090909 81.95276407098083
253 nan nan nan nan 274.09090909090907 81.95276407098083
254 nan nan nan nan 282.2727272727273 81.95276407098083
255 nan nan nan nan 290.45454545454544 81.95276407098083
